Project :,experiment_06
RGB
Train Loss,Train Mae,Val Loss,Val Mae
0.008211877,0.05902233,0.037226927,0.103329182
0.005799765,0.049519942,0.035752662,0.103874534

RGB + HSV Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.004634422,0.044963552,0.039970457,0.109983752
0.002738714,0.036029963,0.034641001,0.100571583
0.004186957,0.043043768,0.040098403,0.111353964
0.004524603,0.044873691,0.037782431,0.107944489
0.006888607,0.052824487,0.039479908,0.111376785
0.003349695,0.040863072,0.032948895,0.102438721
0.004121485,0.044058543,0.03422692,0.095820971
0.00337518,0.039995516,0.033239327,0.095238253
0.004151579,0.043060979,0.036624935,0.098900229
0.008154699,0.058669882,0.04103972,0.102996416

RGB + LAB Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.006709874,0.052314913,0.034990791,0.096166521
0.005855275,0.04877344,0.036271844,0.097499795
0.007765976,0.056441164,0.041419853,0.10774307
0.005645581,0.04701668,0.040364526,0.108294658
0.008945267,0.060664862,0.037188876,0.110168077
0.00691119,0.052605767,0.042334829,0.107193969
0.00920614,0.05917158,0.032873366,0.095320463
0.005355438,0.047895191,0.033341624,0.08922641
0.009026061,0.060048581,0.032912657,0.097123057
0.007395282,0.053937773,0.033822056,0.093839765

RGB + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.007063922536020216,0.052067989503082474,0.034516897052526474,0.10254979133605957
0.006286057131364942,0.050358745828270914,0.03920656070113182,0.10175678133964539
0.00809828769660702,0.0564410671003555,0.034785138951106506,0.09837564419616353
0.007201098687456627,0.055378529370615354,0.03284292329441418,0.09178814088756387
0.010429125916408865,0.0635291101312951,0.04281363636255264,0.11313051730394363
0.004707929347396681,0.044691800757458336,0.03830463066697121,0.10638308525085449
0.009400001874095515,0.06045685918315461,0.0356099009513855,0.09955180436372757
0.0059871233999729155,0.04968241974711418,0.0357842817902565,0.09403131157159805
0.005803253418324809,0.047879807023625626,0.03734925761818886,0.09522344917058945
0.007165439001676675,0.05580880024323338,0.041084904223680496,0.10988641530275345

HSV Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.002406138,0.033337366,0.033861194,0.10571707
0.002178982,0.031385717,0.027589208,0.092423946
0.002919505,0.036236332,0.030635465,0.103858739
0.00209873,0.03184793,0.032082387,0.099726816
0.00381519,0.040305268,0.033889544,0.097689046
0.002630978,0.035753515,0.03355737,0.100426272
0.004759437,0.044613414,0.036052559,0.110794872
0.003067773,0.036740638,0.035948742,0.108084843
0.003127607,0.037130447,0.034354016,0.101640992
0.00356904,0.039185065,0.029649293,0.098432332

HSV + LAB Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.003208541,0.0367792,0.030796289,0.099731485
0.003979494,0.041590651,0.035716757,0.115775816
0.003453853,0.039999663,0.03611717,0.103981607
0.002777953,0.035447083,0.029779475,0.097478993
0.00457872,0.043210478,0.029000068,0.101977199
0.004276829,0.041122036,0.037192903,0.112661123
0.006231183,0.050052402,0.025826724,0.095802568
0.004122277,0.044117907,0.037685465,0.10959132
0.003679771,0.040014701,0.035527388,0.104216266
0.004849608,0.045245331,0.034189492,0.106188014

HSV + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.005316977,0.047439573,0.031091994,0.103567168
0.005574745,0.046703872,0.035848353,0.114340097
0.006298366,0.051067824,0.038748454,0.116055749
0.00337861,0.038586786,0.034712711,0.101773597
0.003511124,0.038565232,0.038225733,0.107211307
0.008495166,0.060597383,0.03710651,0.10869386
0.002747184,0.034394987,0.028710132,0.104652256
0.003641586,0.040087488,0.031819593,0.101286456
0.003312928,0.037677684,0.036324833,0.117927382
0.003367907,0.037693331,0.035346881,0.107504398

LAB  Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.008856811,0.06064704,0.030345039,0.092827037
0.014028894,0.073730798,0.033086885,0.098070189
0.008303334,0.0594648,0.038093254,0.108961232
0.010141937,0.061996342,0.038531497,0.109494872
0.007974489,0.059492531,0.031023087,0.104479551
0.011891692,0.070240301,0.030526651,0.098042823
0.011578386,0.068783943,0.027636468,0.09854725
0.00848318,0.060936892,0.03329774,0.099468805
0.010115653,0.066244643,0.037195638,0.103673555
0.012746538,0.071869755,0.028683763,0.095969349

LAB + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.013897251,0.07383906,0.038589563,0.118826836
0.015755896,0.077623251,0.034043573,0.104922056
0.009922831,0.064073782,0.029679863,0.089176208
0.015484965,0.075272783,0.026799213,0.096893311
0.01365599,0.073175791,0.029798506,0.093025573
0.00937366,0.064904276,0.032690562,0.111310668
0.01511567,0.07859737,0.035932377,0.107587807
0.014105397,0.076250074,0.031609263,0.102612689
0.014346981,0.073252293,0.026227571,0.093106516
0.014350547,0.075873057,0.032070179,0.106045462

 YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.00772787,0.057190431,0.037616469,0.101426104
0.010516022,0.067414755,0.029316513,0.101069875
0.014875685,0.076961711,0.027440835,0.100040264
0.01047836,0.067300641,0.032927658,0.105732128
0.011620216,0.070304311,0.03723304,0.112616017
0.011615386,0.072487545,0.038337413,0.122447461
0.012086172,0.072882135,0.039185654,0.115726687
0.011852287,0.072686304,0.027956409,0.111575484
0.007370372,0.056015232,0.03296404,0.105229586
0.008452965,0.06104987,0.034004942,0.115336679

Rata-rata Skor
Tanpa Inpaint
Ruang Warna,Train Loss,Train Mae,Val Loss,Val Mae
RGB,0.0058067336,0.048696530599999996,0.0312231268,0.09171070960000001
RGB+HSV,0.0032007340000000002,0.0386636316,0.0363792964,0.10339621439999999
RGB+LAB,0.005419029600000001,0.0483322994,0.030128457400000003,0.0909301642
RGB+YCbCr,0.006492461199999999,0.0520480512,0.0331479138,0.0951016774
HSV,0.0026672044,0.0353729456,0.032964883,0.09955162720000002
HSV+LAB,0.0035497542,0.0387189996,0.029777049,0.0969138864
HSV+YCbCr,0.0028697358,0.0353874056,0.031644467999999995,0.10107621
LAB,0.0073955886,0.0559472434,0.033091355,0.0991677076
LAB+YCbCr,0.011572507399999998,0.06830238120000001,0.0305150696,0.0942613546
YCbCr,0.008775001599999999,0.06035696960000001,0.0284256724,0.0992734356

Dengan Inpaint
Ruang Warna,Train Loss,Train Mae,Val Loss,Val Mae
RGB,0.0064506888,0.05090993140000001,0.0333030638,0.09507284599999999
RGB+HSV,0.0035473306000000002,0.0405986596,0.0343362156,0.09859395140000002
RGB+LAB,0.006095471600000001,0.0497211982,0.0335880988,0.0943352432
RGB+YCbCr,0.0059696571666159135,0.04893615257191031,0.03470782840793783,0.09579407003792849
HSV,0.0024468666,0.033712172,0.030702744599999998,0.0977396824
HSV+LAB,0.0034199224,0.0386725366,0.0299184096,0.09979437040000001
HSV+YCbCr,0.0032635506000000002,0.037383604,0.0323362622,0.10369815680000001
LAB,0.0087466934,0.060507520999999995,0.029643001600000003,0.0966913296
LAB+YCbCr,0.0121910258,0.0698490404,0.0288228832,0.0949628594
YCbCr,0.008909117800000001,0.0617941858,0.030121091,0.1026995914
